2003,25252
2003,33610
2003,41133
2003,27070
2003,5327
2003,8457
2003,27848
2003,34990
2003,18112
2003,31056
2003,5828
2003,7407
2003,27169
2003,20259
2003,12626
2003,29836
2003,20481
2003,38863
2003,9084
2003,27170
2003,13188
2003,37442
2003,10426
2003,6777
2003,21342
2003,27363
2003,37778
2003,22468
2003,21668
2003,19133
2003,32088
2003,6472
2003,11331
2003,7428
2003,41665
2003,9838
2003,24765
2003,38394
2003,6318
2003,6638
2003,32825
2003,18987
2003,24398
2003,21521
2003,1092
2003,22227
2003,21065
2003,2726
2003,9220
2003,13455
2003,16519
2003,33850
2003,14226
2003,18838
2003,17982
2003,7509
2003,23613
2003,14875
2003,20930
2003,2736
2003,26686
2003,38910
2003,38596
2003,7152
2003,39073
2003,19017
2003,12185
2003,10768
2003,21864
2003,15722
2003,4678
2003,13476
2003,23718
2003,10923
2003,14103
2003,14262
2003,35771
2003,10467
2003,7821
2003,14415
2003,25836
2003,37211
2003,24519
2003,29922
2003,6068
2003,18548
2003,18885
2003,33045
2003,36670
2003,23519
2003,29937
2003,41236
2003,30468
2003,10494
2003,37687
2003,19396
2003,4668
2003,34599
2003,32901
2003,30481
2003,35015
2003,2176
2003,4189
2003,7702
2003,28523
2003,37253
2003,36793
2003,26318
2003,13983
27537,2003
854,2003
1451,2003
